english,ar
"2-Step Verification","التحقق بخطوتين"
"2-Step Verification Required","التحقق بخطوتين مطلوب"
"2-Step verification required","التحقق بخطوتين مطلوب"
"2-Step verification satisfied","تم استيفاء التحقق بخطوتين"
"Account linking could not be completed. Please try another sign-in method.","تعذر إكمال ربط الحساب. يرجى تجربة طريقة تسجيل دخول أخرى."
"Account not found","الحساب غير موجود"
"Activate","تفعيل"
"All primary methods, no recent accounts","جميع الطرق الأساسية، لا توجد حسابات حديثة"
"All screens","جميع الشاشات"
"Already satisfied","مستوفى بالفعل"
"Another code can be sent in {seconds} seconds.","يمكن إرسال رمز آخر خلال {seconds} ثانية."
"App","تطبيق"
"Authenticator app","تطبيق المصادقة"
"Authenticator code","رمز تطبيق المصادقة"
"Authenticator setup could not be prepared here. The setup details cannot be restored after a reload.","تعذر إعداد تطبيق المصادقة هنا. لا يمكن استعادة تفاصيل الإعداد بعد إعادة التحميل."
"Authenticator unavailable","تطبيق المصادقة غير متاح"
"Back to 2-step choices","العودة إلى خيارات التحقق بخطوتين"
"Back to methods","العودة إلى الطرق"
"Back to sign-in","العودة إلى تسجيل الدخول"
"Bootstrap failed","فشلت التهيئة"
"Browser without WebAuthn","متصفح بدون WebAuthn"
"By continuing, you acknowledge the","بالمتابعة، فإنك تقر بـ"
"Challenge start for SMS OTP","بدء التحقق عبر رمز SMS لمرة واحدة"
"Challenge start for email OTP","بدء التحقق عبر رمز البريد الإلكتروني لمرة واحدة"
"Change email","تغيير البريد الإلكتروني"
"Change password","تغيير كلمة المرور"
"Change required","التغيير مطلوب"
"Change your password","تغيير كلمة المرور الخاصة بك"
"Check your email","تحقق من بريدك الإلكتروني"
"Check-your-email confirmation","تأكيد التحقق من بريدك الإلكتروني"
"Checking your reset link...","جارٍ التحقق من رابط إعادة الضبط..."
"Checking reset link","جارٍ التحقق من رابط إعادة الضبط"
"Choose 2-step verification method","اختر طريقة التحقق بخطوتين"
"Choose a method","اختر طريقة"
"Choose a factor","اختر عاملاً"
"Choose an account or method","اختر حساباً أو طريقة"
"Choose a new password","اختر كلمة مرور جديدة"
"Chooser","أداة الاختيار"
"Chooser with recent accounts","أداة الاختيار مع الحسابات الحديثة"
"Code sent, ready to verify","تم إرسال الرمز، جاهز للتحقق"
"Compact","مدمج"
"Confirm new password","تأكيد كلمة المرور الجديدة"
"Continue","متابعة"
"Continue in ZITADEL","المتابعة في ZITADEL"
"Continue sign-in","متابعة تسجيل الدخول"
"Continue with {provider}","المتابعة باستخدام {provider}"
"Continue with Google","المتابعة باستخدام Google"
"Continuing","جارٍ المتابعة"
"Continuing sign-in...","جارٍ متابعة تسجيل الدخول..."
"Could not link account","تعذر ربط الحساب"
"Could not link the account","تعذر ربط الحساب"
"Could not register the account","تعذر تسجيل الحساب"
"Create passkey","إنشاء مفتاح مرور"
"Current password","كلمة المرور الحالية"
"Dark","داكن"
"Dark theme","المظهر الداكن"
"Demo chrome","واجهة العرض التوضيحي"
"Demo screens","شاشات العرض التوضيحي"
"Directory","الدليل"
"Email OTP","رمز البريد الإلكتروني لمرة واحدة"
"Email address","عنوان البريد الإلكتروني"
"Email code","رمز البريد الإلكتروني"
"Email verification code","رمز التحقق للبريد الإلكتروني"
"Enroll email OTP","تسجيل رمز البريد الإلكتروني لمرة واحدة"
"Enrollment cannot be resumed","لا يمكن استئناف التسجيل"
"Enter 6 digits.","أدخل 6 أرقام."
"Enter 6 to 20 digits.","أدخل من 6 إلى 20 رقماً."
"Enter the 6-20 digit code sent to your email address.","أدخل الرمز المكون من 6-20 رقماً والمُرسل إلى عنوان بريدك الإلكتروني."
"Enter the 6-20 digit code sent to your mobile phone.","أدخل الرمز المكون من 6-20 رقماً والمُرسل إلى هاتفك المحمول."
"Enter the 6-digit code from your authenticator app.","أدخل الرمز المكون من 6 أرقام من تطبيق المصادقة الخاص بك."
"Enter the code sent for {email}.","أدخل الرمز المُرسل إلى {email}."
"Enter code","أدخل الرمز"
"Enter email","أدخل البريد الإلكتروني"
"Enter email code","أدخل رمز البريد الإلكتروني"
"Enter email for a reset link","أدخل البريد الإلكتروني للحصول على رابط إعادة الضبط"
"Enter your email","أدخل بريدك الإلكتروني"
"Expired or already used","منتهي الصلاحية أو تم استخدامه بالفعل"
"Expired-password change","تغيير كلمة المرور منتهية الصلاحية"
"Fallback","بديل احتياطي"
"Fatal initialization error","خطأ فادح في التهيئة"
"Fetching 2-step choices","جارٍ جلب خيارات التحقق بخطوتين"
"Forgot password?","هل نسيت كلمة المرور؟"
"GitHub","GitHub"
"GitHub project","مشروع GitHub"
"Helps you recognize this device later.","يساعدك على التعرف على هذا الجهاز لاحقاً."
"Hide","إخفاء"
"Hide password","إخفاء كلمة المرور"
"Hide screens","إخفاء الشاشات"
"Hide setup key","إخفاء مفتاح الإعداد"
"Identifier and password","المُعرّف وكلمة المرور"
"Identity provider","مزود الهوية"
"If an account matches that email address, we sent a password reset link.","إذا كان هناك حساب يطابق عنوان البريد الإلكتروني هذا، فقد أرسلنا رابطاً لإعادة ضبط كلمة المرور."
"Initial sign-in bootstrap","التهيئة الأولية لتسجيل الدخول"
"Invalid credentials message","رسالة بيانات اعتماد غير صالحة"
"Invalid reset link","رابط إعادة الضبط غير صالح"
"Jump to any screen or variant","الانتقال إلى أي شاشة أو خيار"
"Language","اللغة"
"Legacy MFA-required fallback","البديل القديم عند طلب المصادقة متعددة العوامل"
"Light","فاتح"
"Light theme","المظهر الفاتح"
"Linking failed","فشل الربط"
"Loading","جارٍ التحميل"
