english,it
"2-Step Verification","Verifica in due passaggi"
"2-Step Verification Required","Verifica in due passaggi richiesta"
"2-Step verification required","Verifica in due passaggi richiesta"
"2-Step verification satisfied","Verifica in due passaggi completata"
"Account linking could not be completed. Please try another sign-in method.","Impossibile completare il collegamento dell'account. Prova con un altro metodo di accesso."
"Account not found","Account non trovato"
"Activate","Attiva"
"All primary methods, no recent accounts","Tutti i metodi principali, nessun account recente"
"All screens","Tutte le schermate"
"Already satisfied","Già soddisfatto"
"Another code can be sent in {seconds} seconds.","Un altro codice potrà essere inviato tra {seconds} secondi."
"App","App"
"Authenticator app","App di autenticazione"
"Authenticator code","Codice dell'app di autenticazione"
"Authenticator setup could not be prepared here. The setup details cannot be restored after a reload.","Impossibile preparare la configurazione dell'app di autenticazione qui. I dettagli di configurazione non possono essere ripristinati dopo una ricarica."
"Authenticator unavailable","App di autenticazione non disponibile"
"Back to 2-step choices","Torna alle opzioni di verifica in due passaggi"
"Back to methods","Torna ai metodi"
"Back to sign-in","Torna all'accesso"
"Bootstrap failed","Inizializzazione non riuscita"
"Browser without WebAuthn","Browser senza WebAuthn"
"By continuing, you acknowledge the","Continuando, accetti i"
"Challenge start for SMS OTP","Avvia verifica OTP via SMS"
"Challenge start for email OTP","Avvia verifica OTP via email"
"Change email","Modifica email"
"Change password","Modifica password"
"Change required","Modifica richiesta"
"Change your password","Modifica la password"
"Check your email","Controlla la tua email"
"Check-your-email confirmation","Conferma di controllo email"
"Checking your reset link...","Verifica del link di reimpostazione in corso..."
"Checking reset link","Verifica del link di reimpostazione"
"Choose 2-step verification method","Scegli un metodo di verifica in due passaggi"
"Choose a method","Scegli un metodo"
"Choose a factor","Scegli un fattore"
"Choose an account or method","Scegli un account o un metodo"
"Choose a new password","Scegli una nuova password"
"Chooser","Selettore"
"Chooser with recent accounts","Selettore con account recenti"
"Code sent, ready to verify","Codice inviato, pronto per la verifica"
"Compact","Compatto"
"Confirm new password","Conferma nuova password"
"Continue","Continua"
"Continue in ZITADEL","Continua in ZITADEL"
"Continue sign-in","Continua l'accesso"
"Continue with {provider}","Continua con {provider}"
"Continue with Google","Continua con Google"
"Continuing","In corso"
"Continuing sign-in...","Accesso in corso..."
