english,ru
"2-Step Verification","2-этапная проверка"
"2-Step Verification Required","Требуется 2-этапная проверка"
"2-Step verification required","Требуется 2-этапная проверка"
"2-Step verification satisfied","2-этапная проверка выполнена"
"Account linking could not be completed. Please try another sign-in method.","Не удалось связать аккаунт. Пожалуйста, попробуйте другой способ входа."
"Account not found","Аккаунт не найден"
"Activate","Активировать"
"All primary methods, no recent accounts","Все основные способы, нет недавних аккаунтов"
"All screens","Все экраны"
"Already satisfied","Уже выполнено"
"Another code can be sent in {seconds} seconds.","Повторный код можно отправить через {seconds} сек."
"App","Приложение"
"Authenticator app","Приложение-аутентификатор"
"Authenticator code","Код аутентификатора"
"Authenticator setup could not be prepared here. The setup details cannot be restored after a reload.","Не удалось подготовить настройку приложения-аутентификатора. Параметры настройки невозможно восстановить после перезагрузки."
"Authenticator unavailable","Приложение-аутентификатор недоступно"
"Back to 2-step choices","Назад к выбору 2-этапной проверки"
"Back to methods","Назад к способам входа"
"Back to sign-in","Назад ко входу"
"Bootstrap failed","Сбой инициализации"
"Browser without WebAuthn","Браузер без поддержки WebAuthn"
"By continuing, you acknowledge the","Продолжая, вы принимаете"
"Challenge start for SMS OTP","Запуск подтверждения по SMS"
"Challenge start for email OTP","Запуск подтверждения по эл. почте"
"Change email","Изменить эл. почту"
"Change password","Сменить пароль"
"Change required","Требуется смена"
"Change your password","Смените пароль"
"Check your email","Проверьте эл. почту"
"Check-your-email confirmation","Подтверждение: проверьте эл. почту"
"Checking your reset link...","Проверка ссылки для сброса..."
"Checking reset link","Проверка ссылки для сброса"
"Choose 2-step verification method","Выберите способ 2-этапной проверки"
"Choose a method","Выберите способ"
"Choose a factor","Выберите фактор"
"Choose an account or method","Выберите аккаунт или способ"
"Choose a new password","Придумайте новый пароль"
"Chooser","Выбор"
"Chooser with recent accounts","Выбор с недавними аккаунтами"
"Code sent, ready to verify","Код отправлен, готов к проверке"
"Compact","Компактный"
"Confirm new password","Подтвердите новый пароль"
"Continue","Продолжить"
"Continue in ZITADEL","Продолжить в ZITADEL"
"Continue sign-in","Продолжить вход"
"Continue with {provider}","Продолжить с {provider}"
"Continue with Google","Продолжить с Google"
"Continuing","Продолжение"
"Continuing sign-in...","Выполняется вход..."
"Could not link account","Не удалось связать аккаунт"
"Could not link the account","Не удалось связать аккаунт"
"Could not register the account","Не удалось зарегистрировать аккаунт"
"Create passkey","Создать ключ доступа"
"Current password","Текущий пароль"
"Dark","Темная"
"Dark theme","Темная тема"
"Demo chrome","Демо-панель"
"Demo screens","Демо-экраны"
"Directory","Каталог"
"Email OTP","Одноразовый код по эл. почте"
"Email address","Адрес эл. почты"
"Email code","Код из эл. почты"
"Email verification code","Код подтверждения из эл. почты"
"Enroll email OTP","Подключить код по эл. почте"
"Enrollment cannot be resumed","Регистрацию невозможно продолжить"
"Enter 6 digits.","Введите 6 цифр."
"Enter 6 to 20 digits.","Введите от 6 до 20 цифр."
"Enter the 6-20 digit code sent to your email address.","Введите 6–20-значный код, отправленный на ваш адрес эл. почты."
"Enter the 6-20 digit code sent to your mobile phone.","Введите 6–20-значный код, отправленный на ваш мобильный телефон."
"Enter the 6-digit code from your authenticator app.","Введите 6-значный код из вашего приложения-аутентификатора."
"Enter the code sent for {email}.","Введите код, отправленный для {email}."
"Enter code","Введите код"
"Enter email","Введите эл. почту"
"Enter email code","Введите код из эл. почты"
"Enter email for a reset link","Введите эл. почту для получения ссылки сброса"
"Enter your email","Введите ваш адрес эл. почты"
"Expired or already used","Срок действия истек или уже использовано"
"Expired-password change","Смена истекшего пароля"
"Fallback","Резервный вариант"
"Fatal initialization error","Критическая ошибка инициализации"
"Fetching 2-step choices","Получение вариантов 2-этапной проверки"
"Forgot password?","Забыли пароль?"
"GitHub","GitHub"
"GitHub project","Проект на GitHub"
"Helps you recognize this device later.","Поможет вам распознать это устройство позже."
"Hide","Скрыть"
"Hide password","Скрыть пароль"
"Hide screens","Скрыть экраны"
"Hide setup key","Скрыть ключ настройки"
"Identifier and password","Идентификатор и пароль"
"Identity provider","Провайдер идентификации"
"If an account matches that email address, we sent a password reset link.","Если аккаунт с таким адресом эл. почты существует, мы отправили ссылку для сброса пароля."
"Initial sign-in bootstrap","Начальная инициализация входа"
"Invalid credentials message","Сообщение о недействительных учетных данных"
"Invalid reset link","Недействительная ссылка для сброса"
"Jump to any screen or variant","Перейти к любому экрану или варианту"
"Language","Язык"
"Last used","Последний использованный"
"Legacy MFA-required fallback","Устаревший резервный вариант для обязательной MFA"
"Light","Светлая"
"Light theme","Светлая тема"
"Linking failed","Связывание не удалось"
"Loading","Загрузка"
"Loading 2-step verification options...","Загрузка вариантов 2-этапной проверки..."
"Loading options","Загрузка параметров"
"Loading password recovery...","Загрузка восстановления пароля..."
"Loading recovery","Загрузка восстановления"
"Loading sign-in...","Загрузка входа..."
"MFA","MFA"
"Method chooser","Выбор способа"
"Multi-factor authentication (MFA) is required for this account. MFA support will be enabled in Task 5.","Для этого аккаунта требуется многофакторная аутентификация (MFA). Поддержка MFA будет включена в задаче 5."
"Name (optional)","Название (необязательно)"
"Native fallback","Встроенный резервный вариант"
"New password","Новый пароль"
"Next","Далее"
"No account linked","Нет привязанного аккаунта"
"No ZITADEL account is linked to this {provider} account. Account linking and self-service registration are not enabled yet.","С этим аккаунтом {provider} не связан ни один аккаунт ZITADEL. Связывание аккаунтов и самостоятельная регистрация пока не включены."
"No linked ZITADEL account","Нет связанного аккаунта ZITADEL"
"Open any login screen with fake data. Actions stay inside /demo.","Откройте любой экран входа с тестовыми данными. Действия остаются внутри /demo."
"Optional 2-step verification","Дополнительная 2-этапная проверка"
"Optional setup","Необязательная настройка"
"Options failed","Не удалось загрузить параметры"
"Or choose a method","Или выберите способ"
"Passkey","Ключ доступа"
"Passkey factor","Фактор ключа доступа"
"Passkey MFA placeholder","Заполнитель для MFA с ключом доступа"
"Passkey authentication is not supported in this browser. Please use another sign-in method.","Аутентификация с помощью ключа доступа не поддерживается в этом браузере. Пожалуйста, используйте другой способ входа."
"Passkey not supported","Ключ доступа не поддерживается"
"Passkey registration is not supported in this browser.","Регистрация ключа доступа не поддерживается в этом браузере."
"Passkey setup unavailable","Настройка ключа доступа недоступна"
"Passkey sign-in","Вход по ключу доступа"
"Passkey unsupported","Ключ доступа не поддерживается"
"Password","Пароль"
"Password error","Ошибка пароля"
"Password expired","Срок действия пароля истек"
