english,fr
"2-Step Verification","Vérification en 2 étapes"
"2-Step Verification Required","Vérification en 2 étapes requise"
"2-Step verification required","Vérification en 2 étapes requise"
"2-Step verification satisfied","Vérification en 2 étapes validée"
"Account linking could not be completed. Please try another sign-in method.","La liaison du compte n'a pas pu être effectuée. Veuillez essayer une autre méthode de connexion."
"Account not found","Compte introuvable"
"Activate","Activer"
"All primary methods, no recent accounts","Toutes les méthodes principales, aucun compte récent"
"All screens","Tous les écrans"
"Already satisfied","Déjà validé"
"Another code can be sent in {seconds} seconds.","Un nouveau code peut être envoyé dans {seconds} secondes."
"App","Application"
"Authenticator app","Application d'authentification"
"Authenticator code","Code d'authentification"
"Authenticator setup could not be prepared here. The setup details cannot be restored after a reload.","La configuration de l'application d'authentification n'a pas pu être préparée ici. Les détails de configuration ne peuvent pas être restaurés après un rechargement."
"Authenticator unavailable","Application d'authentification indisponible"
"Back to 2-step choices","Retour aux options en 2 étapes"
"Back to methods","Retour aux méthodes"
"Back to sign-in","Retour à la connexion"
"Bootstrap failed","Échec de l'initialisation"
"Browser without WebAuthn","Navigateur sans WebAuthn"
"By continuing, you acknowledge the","En continuant, vous acceptez les"
"Challenge start for SMS OTP","Démarrage du défi OTP par SMS"
"Challenge start for email OTP","Démarrage du défi OTP par e-mail"
"Change email","Modifier l'adresse e-mail"
"Change password","Modifier le mot de passe"
"Change required","Modification requise"
"Change your password","Modifiez votre mot de passe"
"Check your email","Consultez vos e-mails"
"Check-your-email confirmation","Confirmation de vérification d'e-mail"
"Checking your reset link...","Vérification de votre lien de réinitialisation..."
"Checking reset link","Vérification du lien de réinitialisation"
"Choose 2-step verification method","Choisir une méthode de vérification en 2 étapes"
"Choose a method","Choisir une méthode"
"Choose a factor","Choisir un facteur"
"Choose an account or method","Choisir un compte ou une méthode"
"Choose a new password","Choisir un nouveau mot de passe"
"Chooser","Sélecteur"
"Chooser with recent accounts","Sélecteur avec comptes récents"
"Code sent, ready to verify","Code envoyé, prêt pour la vérification"
"Compact","Compact"
"Confirm new password","Confirmer le nouveau mot de passe"
"Continue","Continuer"
"Continue in ZITADEL","Continuer dans ZITADEL"
"Continue sign-in","Poursuivre la connexion"
"Continue with {provider}","Continuer avec {provider}"
"Continue with Google","Continuer avec Google"
"Continuing","Poursuite en cours"
"Continuing sign-in...","Poursuite de la connexion..."
"Could not link account","Impossible de lier le compte"
"Could not link the account","Impossible de lier le compte"
"Could not register the account","Impossible d'enregistrer le compte"
"Create passkey","Créer un passkey"
"Current password","Mot de passe actuel"
"Dark","Sombre"
"Dark theme","Thème sombre"
"Demo chrome","Interface de démo"
"Demo screens","Écrans de démo"
"Directory","Répertoire"
"Email OTP","OTP par e-mail"
"Email address","Adresse e-mail"
"Email code","Code par e-mail"
"Email verification code","Code de vérification par e-mail"
"Enroll email OTP","Enregistrer l'OTP par e-mail"
"Enrollment cannot be resumed","L'enregistrement ne peut pas être repris"
"Enter 6 digits.","Saisissez 6 chiffres."
"Enter 6 to 20 digits.","Saisissez 6 à 20 chiffres."
"Enter the 6-20 digit code sent to your email address.","Saisissez le code de 6 à 20 chiffres envoyé à votre adresse e-mail."
"Enter the 6-20 digit code sent to your mobile phone.","Saisissez le code de 6 à 20 chiffres envoyé sur votre téléphone portable."
"Enter the 6-digit code from your authenticator app.","Saisissez le code à 6 chiffres de votre application d'authentification."
"Enter the code sent for {email}.","Saisissez le code envoyé à {email}."
"Enter code","Saisir le code"
"Enter email","Saisir l'e-mail"
"Enter email code","Saisir le code reçu par e-mail"
"Enter email for a reset link","Saisir l'e-mail pour recevoir un lien de réinitialisation"
"Enter your email","Saisissez votre e-mail"
"Expired or already used","Expiré ou déjà utilisé"
"Expired-password change","Modification du mot de passe expiré"
"Fallback","Secours"
"Fatal initialization error","Erreur fatale d'initialisation"
"Fetching 2-step choices","Récupération des options en 2 étapes"
"Forgot password?","Mot de passe oublié ?"
"GitHub","GitHub"
"GitHub project","Projet GitHub"
"Helps you recognize this device later.","Vous aide à reconnaître cet appareil plus tard."
"Hide","Masquer"
"Hide password","Masquer le mot de passe"
"Hide screens","Masquer les écrans"
"Hide setup key","Masquer la clé de configuration"
"Identifier and password","Identifiant et mot de passe"
"Identity provider","Fournisseur d'identité"
"If an account matches that email address, we sent a password reset link.","Si un compte correspond à cette adresse e-mail, nous avons envoyé un lien de réinitialisation de mot de passe."
"Initial sign-in bootstrap","Initialisation de la connexion"
"Invalid credentials message","Message d'identifiants non valides"
"Invalid reset link","Lien de réinitialisation non valide"
"Jump to any screen or variant","Accéder directement à un écran ou une variante"
"Language","Langue"
"Legacy MFA-required fallback","Secours hérité pour MFA requise"
"Light","Clair"
"Light theme","Thème clair"
"Linking failed","Échec de la liaison"
"Loading","Chargement"
"Loading 2-step verification options...","Chargement des options de vérification en 2 étapes..."
"Loading options","Chargement des options"
"Loading password recovery...","Chargement de la récupération du mot de passe..."
"Loading recovery","Chargement de la récupération"
"Loading sign-in...","Chargement de la connexion..."
"MFA","MFA"
"Method chooser","Sélecteur de méthode"
"Multi-factor authentication (MFA) is required for this account. MFA support will be enabled in Task 5.","L'authentification multifacteur (MFA) est requise pour ce compte. La prise en charge de la MFA sera activée dans la tâche 5."
"Name (optional)","Nom (facultatif)"
"Native fallback","Secours natif"
"New password","Nouveau mot de passe"
"Next","Suivant"
"No account linked","Aucun compte lié"
"No ZITADEL account is linked to this {provider} account. Account linking and self-service registration are not enabled yet.","Aucun compte ZITADEL n'est lié à ce compte {provider}. La liaison de compte et l'auto-inscription ne sont pas encore activées."
"No linked ZITADEL account","Aucun compte ZITADEL lié"
"Open any login screen with fake data. Actions stay inside /demo.","Ouvrez n'importe quel écran de connexion avec des données fictives. Les actions restent dans /demo."
"Optional 2-step verification","Vérification en 2 étapes facultative"
"Optional setup","Configuration facultative"
"Options failed","Échec du chargement des options"
"Or choose a method","Ou choisissez une méthode"
"Passkey","Passkey"
"Passkey factor","Facteur passkey"
"Passkey MFA placeholder","Espace réservé MFA par passkey"
"Passkey authentication is not supported in this browser. Please use another sign-in method.","L'authentification par passkey n'est pas prise en charge dans ce navigateur. Veuillez utiliser une autre méthode de connexion."
"Passkey not supported","Passkey non pris en charge"
"Passkey registration is not supported in this browser.","L'enregistrement de passkey n'est pas pris en charge dans ce navigateur."
"Passkey setup unavailable","Configuration de passkey indisponible"
"Passkey sign-in","Connexion par passkey"
"Passkey unsupported","Passkey non pris en charge"
"Password","Mot de passe"
"Password error","Erreur de mot de passe"
"Password expired","Mot de passe expiré"
"Password MFA placeholder","Espace réservé MFA par mot de passe"
"Password recovery unavailable","Récupération du mot de passe indisponible"
"Password sign-in","Connexion par mot de passe"
"Password changed","Mot de passe modifié"
"Pending email OTP verification","Vérification OTP par e-mail en attente"
"Policy already met","Politique déjà respectée"
"Policy-required password change","Modification du mot de passe requise par la politique"
"Previous","Précédent"
"Privacy Policy","Politique de confidentialité"
"Provider failure","Échec du fournisseur"
"QR code for authenticator app setup","Code QR pour la configuration de l'application d'authentification"
"Reauthentication required","Réauthentification requise"
"Receive a one-time code","Recevoir un code à usage unique"
"Receive a one-time verification code via email","Recevoir un code de vérification à usage unique par e-mail"
"Receive a one-time verification code via SMS","Recevoir un code de vérification à usage unique par SMS"
"Recent accounts","Comptes récents"
"Recent accounts plus methods","Comptes récents et méthodes"
"Recovery","Récupération"
"Recovery bootstrap spinner","Indicateur de chargement de la récupération"
"Recovery code verification requires native ZITADEL sign-in.","La vérification par code de récupération nécessite une connexion ZITADEL native."
"Recovery unavailable","Récupération indisponible"
"Redirect after a completed sign-in","Redirection après une connexion réussie"
"Register a hardware key","Enregistrer une clé matérielle"
"Register a hardware security key, then verify it once to continue.","Enregistrez une clé de sécurité matérielle, puis vérifiez-la une fois pour continuer."
"Register a new passkey","Enregistrer un nouveau passkey"
"Register a passkey with biometrics or a device PIN, then verify it once to continue.","Enregistrez un passkey avec vos données biométriques ou le code PIN de l'appareil, puis vérifiez-le une fois pour continuer."
"Register security key","Enregistrer une clé de sécurité"
"Registering...","Enregistrement en cours..."
"Registration cannot be resumed","L'enregistrement ne peut pas être repris"
"Registration failed","Échec de l'enregistrement"
"Remember this email","Mémoriser cet e-mail"
"Remember this identifier","Mémoriser cet identifiant"
"Request reset","Demander la réinitialisation"
"Required enrollment chooser","Sélecteur d'enregistrement requis"
"Resend code","Renvoyer le code"
"Resend code ({seconds}s)","Renvoyer le code ({seconds}s)"
"Reset bootstrap spinner","Indicateur de chargement de la réinitialisation"
"Reset finished successfully","Réinitialisation réussie"
"Reset link sent","Lien de réinitialisation envoyé"
"Reset your password","Réinitialiser votre mot de passe"
"Retry loading options","Réessayer le chargement des options"
"SMS code","Code SMS"
"SMS verification code","Code de vérification par SMS"
"Saving...","Enregistrement en cours..."
"Scan the code with your authenticator app, then enter the 6-digit code it shows.","Scannez le code avec votre application d'authentification, puis saisissez le code à 6 chiffres affiché."
"Screen directory","Répertoire des écrans"
"Screens","Écrans"
"Security key","Clé de sécurité"
"Security key registration is not supported in this browser.","L'enregistrement d'une clé de sécurité n'est pas pris en charge dans ce navigateur."
"Security key unsupported","Clé de sécurité non prise en charge"
"Select a method to set up 2-step verification for your account.","Sélectionnez une méthode pour configurer la vérification en 2 étapes pour votre compte."
"Select among enrolled methods","Sélectionner parmi les méthodes enregistrées"
"Send SMS code","Envoyer le code SMS"
"Send a new code","Envoyer un nouveau code"
"Send a verification code to your email address.","Envoyer un code de vérification à votre adresse e-mail."
"Send a verification code to your mobile phone via SMS.","Envoyer un code de vérification à votre téléphone portable par SMS."
"Send code","Envoyer le code"
"Send email code","Envoyer le code par e-mail"
"Send reset link","Envoyer le lien de réinitialisation"
"Sending...","Envoi en cours..."
"Sending code...","Envoi du code en cours..."
"Set new password","Définir un nouveau mot de passe"
"Set up 2-step verification","Configurer la vérification en 2 étapes"
"Set up a factor","Configurer un facteur"
"Set up a passkey","Configurer un passkey"
"Set up a security key","Configurer une clé de sécurité"
"Set up authenticator","Configurer l'application d'authentification"
"Set up authenticator app","Configurer l'application d'authentification"
"Set up email codes","Configurer les codes par e-mail"
"Set up {method}","Configurer {method}"
"Setting up...","Configuration en cours..."
"Setup key (if you cannot scan)","Clé de configuration (si vous ne pouvez pas scanner)"
"Show","Afficher"
"Show password","Afficher le mot de passe"
"Show setup key","Afficher la clé de configuration"
"Sidebar","Barre latérale"
"Sign in","Se connecter"
"Sign in with a passkey","Se connecter avec un passkey"
"Sign in with passkey","Se connecter avec un passkey"
"Sign in with password","Se connecter avec un mot de passe"
"Sign in with your new password to continue.","Connectez-vous avec votre nouveau mot de passe pour continuer."
"Sign in with {provider}","Se connecter avec {provider}"
"Sign in with {provider} was not completed. Please try again.","La connexion avec {provider} n'a pas abouti. Veuillez réessayer."
"Sign-in was not completed","La connexion n'a pas abouti"
"Signing in...","Connexion en cours..."
"Skip for now","Ignorer pour le moment"
"Skip or enroll a method","Ignorer ou enregistrer une méthode"
"Skipping...","Passage en cours..."
"Start TOTP enrollment","Démarrer l'enregistrement TOTP"
"Start an external provider","Démarrer un fournisseur externe"
"Start email-code sign-in","Démarrer la connexion par code envoyé par e-mail"
"Start setup","Démarrer la configuration"
"Start sign-in again","Recommencer la connexion"
"Starting setup...","Démarrage de la configuration..."
"Supported browser, identifier first","Navigateur pris en charge, identifiant d'abord"
"System","Système"
"System theme","Thème système"
"Terms of Service","Conditions d'utilisation"
"Theme","Thème"
"Theme is set by the organization","Le thème est défini par l'organisation"
"This 2-step verification option requires native ZITADEL sign-in.","Cette option de vérification en 2 étapes nécessite une connexion ZITADEL native."
"This registration cannot be resumed after a reload. Continue in ZITADEL to finish setup.","Cet enregistrement ne peut pas être repris après un rechargement. Continuez dans ZITADEL pour terminer la configuration."
"This reset link is no longer valid","Ce lien de réinitialisation n'est plus valide"
"Try again","Réessayer"
"UI demo","Démo de l'interface"
"Unable to continue","Impossible de continuer"
"Unsupported method","Méthode non prise en charge"
"Use a code from Google Authenticator, Authy, or 1Password","Utiliser un code de Google Authenticator, Authy ou 1Password"
