english,tr
"2-Step Verification","2 Adımlı Doğrulama"
"2-Step Verification Required","2 Adımlı Doğrulama Gerekli"
"2-Step verification required","2 adımlı doğrulama gerekli"
"2-Step verification satisfied","2 adımlı doğrulama tamamlandı"
"Account linking could not be completed. Please try another sign-in method.","Hesap bağlama tamamlanamadı. Lütfen başka bir giriş yöntemi deneyin."
"Account not found","Hesap bulunamadı"
"Activate","Etkinleştir"
"All primary methods, no recent accounts","Tüm birincil yöntemler, son kullanılan hesap yok"
"All screens","Tüm ekranlar"
"Already satisfied","Zaten karşılandı"
"Another code can be sent in {seconds} seconds.","{seconds} saniye içinde yeni bir kod gönderilebilir."
"App","Uygulama"
"Authenticator app","Kimlik doğrulama uygulaması"
"Authenticator code","Kimlik doğrulama kodu"
"Authenticator setup could not be prepared here. The setup details cannot be restored after a reload.","Kimlik doğrulama kurulumu burada hazırlanamadı. Kurulum ayrıntıları yeniden yüklendikten sonra geri yüklenemez."
"Authenticator unavailable","Kimlik doğrulayıcı kullanılamıyor"
"Back to 2-step choices","2 adımlı seçimlere geri dön"
"Back to methods","Yöntemlere geri dön"
"Back to sign-in","Giriş yapmaya geri dön"
"Bootstrap failed","Başlatma başarısız oldu"
"Browser without WebAuthn","WebAuthn desteği olmayan tarayıcı"
"By continuing, you acknowledge the","Devam ederek şunları kabul etmiş olursunuz:"
"Challenge start for SMS OTP","SMS OTP için doğrulama başlatma"
"Challenge start for email OTP","E-posta OTP için doğrulama başlatma"
"Change email","E-postayı değiştir"
"Change password","Şifreyi değiştir"
"Change required","Değişiklik gerekli"
"Change your password","Şifrenizi değiştirin"
"Check your email","E-postanızı kontrol edin"
"Check-your-email confirmation","E-posta kontrolü onayı"
"Checking your reset link...","Sıfırlama bağlantınız kontrol ediliyor..."
"Checking reset link","Sıfırlama bağlantısı kontrol ediliyor"
"Choose 2-step verification method","2 adımlı doğrulama yöntemini seçin"
"Choose a method","Bir yöntem seçin"
"Choose a factor","Bir faktör seçin"
"Choose an account or method","Bir hesap veya yöntem seçin"
"Choose a new password","Yeni bir şifre seçin"
"Chooser","Seçici"
"Chooser with recent accounts","Son kullanılan hesapları içeren seçici"
"Code sent, ready to verify","Kod gönderildi, doğrulamaya hazır"
"Compact","Kompakt"
"Confirm new password","Yeni şifreyi onaylayın"
"Continue","Devam et"
"Continue in ZITADEL","ZITADEL ile devam et"
"Continue sign-in","Girişe devam et"
"Continue with {provider}","{provider} ile devam et"
"Continue with Google","Google ile devam et"
"Continuing","Devam ediliyor"
"Continuing sign-in...","Girişe devam ediliyor..."
"Could not link account","Hesap bağlanamadı"
"Could not link the account","Hesap bağlanamadı"
"Could not register the account","Hesap kaydedilemedi"
"Create passkey","Geçiş anahtarı oluştur"
"Current password","Mevcut şifre"
"Dark","Koyu"
"Dark theme","Koyu tema"
"Demo chrome","Demo arayüzü"
"Demo screens","Demo ekranları"
"Directory","Dizin"
"Email OTP","E-posta OTP"
"Email address","E-posta adresi"
"Email code","E-posta kodu"
"Email verification code","E-posta doğrulama kodu"
"Enroll email OTP","E-posta OTP kaydet"
"Enrollment cannot be resumed","Kayıt işlemine devam edilemiyor"
"Enter 6 digits.","6 basamak girin."
"Enter 6 to 20 digits.","6 ila 20 basamak girin."
"Enter the 6-20 digit code sent to your email address.","E-posta adresinize gönderilen 6-20 basamaklı kodu girin."
"Enter the 6-20 digit code sent to your mobile phone.","Cep telefonunuza gönderilen 6-20 basamaklı kodu girin."
"Enter the 6-digit code from your authenticator app.","Kimlik doğrulama uygulamanızdaki 6 basamaklı kodu girin."
"Enter the code sent for {email}.","{email} adresine gönderilen kodu girin."
"Enter code","Kodu girin"
"Enter email","E-posta adresini girin"
"Enter email code","E-posta kodunu girin"
"Enter email for a reset link","Sıfırlama bağlantısı için e-posta adresinizi girin"
"Enter your email","E-postanızı girin"
"Expired or already used","Süresi dolmuş veya zaten kullanılmış"
"Expired-password change","Süresi dolmuş şifre değişikliği"
"Fallback","Yedek yöntem"
"Fatal initialization error","Kritik başlatma hatası"
"Fetching 2-step choices","2 adımlı seçenekler alınıyor"
"Forgot password?","Şifrenizi mi unuttunuz?"
"GitHub","GitHub"
"GitHub project","GitHub projesi"
"Helps you recognize this device later.","Bu cihazı daha sonra tanımanıza yardımcı olur."
"Hide","Gizle"
"Hide password","Şifreyi gizle"
"Hide screens","Ekranları gizle"
"Hide setup key","Kurulum anahtarını gizle"
"Identifier and password","Tanımlayıcı ve şifre"
"Identity provider","Kimlik sağlayıcı"
"If an account matches that email address, we sent a password reset link.","Bu e-posta adresiyle eşleşen bir hesap varsa, şifre sıfırlama bağlantısı gönderdik."
"Initial sign-in bootstrap","İlk giriş başlatma"
"Invalid credentials message","Geçersiz kimlik bilgisi mesajı"
"Invalid reset link","Geçersiz sıfırlama bağlantısı"
"Jump to any screen or variant","Herhangi bir ekrana veya varyanta geçin"
"Language","Dil"
"Last used","Son kullanılan"
"Legacy MFA-required fallback","Eski MFA zorunluluğu yedeği"
"Light","Açık"
"Light theme","Açık tema"
"Linking failed","Bağlama başarısız oldu"
"Loading","Yükleniyor"
"Loading 2-step verification options...","2 adımlı doğrulama seçenekleri yükleniyor..."
"Loading options","Seçenekler yükleniyor"
"Loading password recovery...","Şifre kurtarma yükleniyor..."
"Loading recovery","Kurtarma yükleniyor"
"Loading sign-in...","Giriş yükleniyor..."
"MFA","MFA"
"Method chooser","Yöntem seçici"
"Multi-factor authentication (MFA) is required for this account. MFA support will be enabled in Task 5.","Bu hesap için çok faktörlü kimlik doğrulama (MFA) gereklidir. MFA desteği Görev 5'te etkinleştirilecektir."
"Name (optional)","Ad (isteğe bağlı)"
"Native fallback","Yerel girişe geri dönüş"
"New password","Yeni şifre"
"Next","İleri"
"No account linked","Bağlı hesap yok"
"No ZITADEL account is linked to this {provider} account. Account linking and self-service registration are not enabled yet.","Bu {provider} hesabına bağlı bir ZITADEL hesabı yok. Hesap bağlama ve self servis kayıt henüz etkinleştirilmedi."
"No linked ZITADEL account","Bağlı ZITADEL hesabı yok"
"Open any login screen with fake data. Actions stay inside /demo.","Herhangi bir giriş ekranını sahte verilerle açın. Eylemler /demo içinde kalır."
"Optional 2-step verification","İsteğe bağlı 2 adımlı doğrulama"
"Optional setup","İsteğe bağlı kurulum"
"Options failed","Seçenekler yüklenemedi"
"Or choose a method","Veya bir yöntem seçin"
"Passkey","Geçiş anahtarı"
"Passkey factor","Geçiş anahtarı faktörü"
"Passkey MFA placeholder","Geçiş anahtarı MFA yer tutucusu"
"Passkey authentication is not supported in this browser. Please use another sign-in method.","Geçiş anahtarı kimlik doğrulaması bu tarayıcıda desteklenmiyor. Lütfen başka bir giriş yöntemi kullanın."
