english,ja
"2-Step Verification","2段階認証"
"2-Step Verification Required","2段階認証が必要です"
"2-Step verification required","2段階認証が必要です"
"2-Step verification satisfied","2段階認証は完了しています"
"Account linking could not be completed. Please try another sign-in method.","アカウントのリンクを完了できませんでした。別のサインイン方法をお試しください。"
"Account not found","アカウントが見つかりません"
"Activate","有効化"
"All primary methods, no recent accounts","すべての主要な方法、最近のアカウントなし"
"All screens","すべての画面"
"Already satisfied","すでに満たされています"
"Another code can be sent in {seconds} seconds.","{seconds}秒後に新しいコードを送信できます。"
"App","アプリ"
"Authenticator app","認証アプリ"
"Authenticator code","認証コード"
"Authenticator setup could not be prepared here. The setup details cannot be restored after a reload.","ここでは認証アプリのセットアップを準備できませんでした。再読み込み後にセットアップの詳細を復元することはできません。"
"Authenticator unavailable","認証アプリは利用できません"
"Back to 2-step choices","2段階認証の選択に戻る"
"Back to methods","サインイン方法に戻る"
"Back to sign-in","サインインに戻る"
"Bootstrap failed","初期化に失敗しました"
"Browser without WebAuthn","WebAuthn非対応ブラウザ"
"By continuing, you acknowledge the","続行することで、以下に同意したものとみなされます"
"Challenge start for SMS OTP","SMS OTP チャレンジ開始"
"Challenge start for email OTP","メール OTP チャレンジ開始"
"Change email","メールアドレスを変更"
"Change password","パスワードを変更"
"Change required","変更が必要です"
"Change your password","パスワードを変更してください"
"Check your email","メールをご確認ください"
"Check-your-email confirmation","メール確認の通知"
"Checking your reset link...","リセットリンクを確認しています..."
"Checking reset link","リセットリンクを確認中"
"Choose 2-step verification method","2段階認証方法を選択"
"Choose a method","方法を選択"
"Choose a factor","要素を選択"
"Choose an account or method","アカウントまたは方法を選択"
"Choose a new password","新しいパスワードを設定"
"Chooser","選択画面"
"Chooser with recent accounts","最近のアカウント付き選択画面"
"Code sent, ready to verify","コードを送信しました。検証可能です"
"Compact","コンパクト"
"Confirm new password","新しいパスワードを確認"
"Continue","続行"
"Continue in ZITADEL","ZITADELで続行"
"Continue sign-in","サインインを続行"
"Continue with {provider}","{provider}で続行"
"Continue with Google","Googleで続行"
"Continuing","続行中"
"Continuing sign-in...","サインインを続行しています..."
"Could not link account","アカウントをリンクできませんでした"
"Could not link the account","アカウントをリンクできませんでした"
"Could not register the account","アカウントを登録できませんでした"
"Create passkey","パスキーを作成"
"Current password","現在のパスワード"
"Dark","ダーク"
"Dark theme","ダークテーマ"
"Demo chrome","デモ操作パネル"
"Demo screens","デモ画面"
"Directory","ディレクトリ"
"Email OTP","メールOTP"
"Email address","メールアドレス"
"Email code","メールコード"
"Email verification code","メール認証コード"
"Enroll email OTP","メールOTPを登録"
"Enrollment cannot be resumed","登録を再開できません"
"Enter 6 digits.","6桁の数字を入力してください。"
"Enter 6 to 20 digits.","6〜20桁の数字を入力してください。"
"Enter the 6-20 digit code sent to your email address.","メールアドレスに送信された6〜20桁のコードを入力してください。"
