english,uk
"2-Step Verification","Двоетапна перевірка"
"2-Step Verification Required","Потрібна двоетапна перевірка"
"2-Step verification required","Потрібна двоетапна перевірка"
"2-Step verification satisfied","Двоетапну перевірку виконано"
"Account linking could not be completed. Please try another sign-in method.","Не вдалося зв’язати обліковий запис. Спробуйте інший спосіб входу."
"Account not found","Обліковий запис не знайдено"
"Activate","Активувати"
"All primary methods, no recent accounts","Усі основні способи, немає нещодавніх облікових записів"
"All screens","Усі екрани"
"Already satisfied","Вже виконано"
"Another code can be sent in {seconds} seconds.","Інший код можна надіслати через {seconds} с."
"App","Застосунок"
"Authenticator app","Застосунок для автентифікації"
"Authenticator code","Код автентифікатора"
"Authenticator setup could not be prepared here. The setup details cannot be restored after a reload.","Не вдалося підготувати налаштування автентифікатора. Дані налаштування неможливо відновити після перезавантаження."
"Authenticator unavailable","Автентифікатор недоступний"
"Back to 2-step choices","Назад до вибору двоетапної перевірки"
"Back to methods","Назад до способів входу"
"Back to sign-in","Назад до входу"
"Bootstrap failed","Помилка ініціалізації"
"Browser without WebAuthn","Браузер без WebAuthn"
"By continuing, you acknowledge the","Продовжуючи, ви погоджуєтеся з"
"Challenge start for SMS OTP","Запуск перевірки через SMS OTP"
"Challenge start for email OTP","Запуск перевірки через Email OTP"
"Change email","Змінити електронну пошту"
"Change password","Змінити пароль"
"Change required","Потрібно змінити"
"Change your password","Змініть свій пароль"
"Check your email","Перевірте свою електронну пошту"
"Check-your-email confirmation","Підтвердження для перевірки електронної пошти"
"Checking your reset link...","Перевірка посилання для скидання..."
"Checking reset link","Перевірка посилання для скидання"
"Choose 2-step verification method","Виберіть спосіб двоетапної перевірки"
"Choose a method","Виберіть спосіб"
"Choose a factor","Виберіть фактор"
"Choose an account or method","Виберіть обліковий запис або спосіб"
"Choose a new password","Виберіть новий пароль"
"Chooser","Вибір"
"Chooser with recent accounts","Вибір із нещодавніми обліковими записами"
"Code sent, ready to verify","Код надіслано, готово до перевірки"
"Compact","Компактний"
"Confirm new password","Підтвердьте новий пароль"
"Continue","Продовжити"
"Continue in ZITADEL","Продовжити в ZITADEL"
"Continue sign-in","Продовжити вхід"
"Continue with {provider}","Продовжити з {provider}"
"Continue with Google","Продовжити з Google"
"Continuing","Продовження"
"Continuing sign-in...","Продовження входу..."
"Could not link account","Не вдалося зв’язати обліковий запис"
"Could not link the account","Не вдалося зв’язати обліковий запис"
