english,de
"2-Step Verification","2-Schritt-Verifizierung"
"2-Step Verification Required","2-Schritt-Verifizierung erforderlich"
"2-Step verification required","2-Schritt-Verifizierung erforderlich"
"2-Step verification satisfied","2-Schritt-Verifizierung erfüllt"
"Account linking could not be completed. Please try another sign-in method.","Das Verknüpfen des Kontos konnte nicht abgeschlossen werden. Bitte versuchen Sie eine andere Anmeldemethode."
"Account not found","Konto nicht gefunden"
"Activate","Aktivieren"
"All primary methods, no recent accounts","Alle primären Methoden, keine kürzlich verwendeten Konten"
"All screens","Alle Bildschirme"
"Already satisfied","Bereits erfüllt"
"Another code can be sent in {seconds} seconds.","Ein neuer Code kann in {seconds} Sekunden gesendet werden."
"App","App"
"Authenticator app","Authenticator-App"
"Authenticator code","Authenticator-Code"
"Authenticator setup could not be prepared here. The setup details cannot be restored after a reload.","Die Einrichtung der Authenticator-App konnte hier nicht vorbereitet werden. Die Einrichtungsdetails können nach dem Neuladen nicht wiederhergestellt werden."
"Authenticator unavailable","Authenticator-App nicht verfügbar"
"Back to 2-step choices","Zurück zur 2-Schritt-Auswahl"
"Back to methods","Zurück zu den Methoden"
"Back to sign-in","Zurück zur Anmeldung"
"Bootstrap failed","Initialisierung fehlgeschlagen"
"Browser without WebAuthn","Browser ohne WebAuthn"
"By continuing, you acknowledge the","Mit dem Fortfahren akzeptieren Sie die"
"Challenge start for SMS OTP","SMS-OTP-Herausforderung starten"
"Challenge start for email OTP","E-Mail-OTP-Herausforderung starten"
"Change email","E-Mail ändern"
"Change password","Passwort ändern"
"Change required","Änderung erforderlich"
"Change your password","Passwort ändern"
"Check your email","Prüfen Sie Ihre E-Mail"
"Check-your-email confirmation","Bestätigung zum Prüfen Ihrer E-Mail"
"Checking your reset link...","Zurücksetzungslink wird geprüft ..."
"Checking reset link","Zurücksetzungslink wird geprüft"
"Choose 2-step verification method","2-Schritt-Verifizierungsmethode auswählen"
"Choose a method","Methode auswählen"
"Choose a factor","Faktor auswählen"
"Choose an account or method","Konto oder Methode auswählen"
"Choose a new password","Neues Passwort festlegen"
"Chooser","Auswahl"
"Chooser with recent accounts","Auswahl mit kürzlich verwendeten Konten"
"Code sent, ready to verify","Code gesendet, bereit zur Verifizierung"
"Compact","Kompakt"
"Confirm new password","Neues Passwort bestätigen"
"Continue","Fortfahren"
"Continue in ZITADEL","In ZITADEL fortfahren"
"Continue sign-in","Anmeldung fortsetzen"
"Continue with {provider}","Mit {provider} fortfahren"
"Continue with Google","Mit Google fortfahren"
"Continuing","Wird fortgesetzt"
"Continuing sign-in...","Anmeldung wird fortgesetzt ..."
"Could not link account","Konto konnte nicht verknüpft werden"
"Could not link the account","Das Konto konnte nicht verknüpft werden"
"Could not register the account","Das Konto konnte nicht registriert werden"
"Create passkey","Passkey erstellen"
"Current password","Aktuelles Passwort"
"Dark","Dunkel"
"Dark theme","Dunkles Design"
"Demo chrome","Demo-Steuerung"
"Demo screens","Demo-Bildschirme"
"Directory","Verzeichnis"
"Email OTP","E-Mail-OTP"
"Email address","E-Mail-Adresse"
"Email code","E-Mail-Code"
"Email verification code","E-Mail-Verifizierungscode"
"Enroll email OTP","E-Mail-OTP registrieren"
"Enrollment cannot be resumed","Die Registrierung kann nicht fortgesetzt werden"
"Enter 6 digits.","Geben Sie 6 Ziffern ein."
"Enter 6 to 20 digits.","Geben Sie 6 bis 20 Ziffern ein."
"Enter the 6-20 digit code sent to your email address.","Geben Sie den 6- bis 20-stelligen Code ein, der an Ihre E-Mail-Adresse gesendet wurde."
"Enter the 6-20 digit code sent to your mobile phone.","Geben Sie den 6- bis 20-stelligen Code ein, der an Ihr Mobiltelefon gesendet wurde."
"Enter the 6-digit code from your authenticator app.","Geben Sie den 6-stelligen Code aus Ihrer Authenticator-App ein."
"Enter the code sent for {email}.","Geben Sie den an {email} gesendeten Code ein."
"Enter code","Code eingeben"
"Enter email","E-Mail eingeben"
"Enter email code","E-Mail-Code eingeben"
"Enter email for a reset link","E-Mail-Adresse für einen Zurücksetzungslink eingeben"
"Enter your email","Geben Sie Ihre E-Mail-Adresse ein"
"Expired or already used","Abgelaufen oder bereits verwendet"
"Expired-password change","Änderung eines abgelaufenen Passworts"
"Fallback","Fallback"
"Fatal initialization error","Schwerwiegender Initialisierungsfehler"
"Fetching 2-step choices","2-Schritt-Auswahl wird abgerufen"
"Forgot password?","Passwort vergessen?"
"GitHub","GitHub"
"GitHub project","GitHub-Projekt"
"Helps you recognize this device later.","Hilft Ihnen, dieses Gerät später zu erkennen."
"Hide","Ausblenden"
"Hide password","Passwort ausblenden"
"Hide screens","Bildschirme ausblenden"
"Hide setup key","Einrichtungsschlüssel ausblenden"
"Identifier and password","Kennung und Passwort"
"Identity provider","Identitätsanbieter"
"If an account matches that email address, we sent a password reset link.","Wenn ein Konto zu dieser E-Mail-Adresse passt, haben wir einen Link zum Zurücksetzen des Passworts gesendet."
"Initial sign-in bootstrap","Initialisierung der Anmeldung"
"Invalid credentials message","Meldung zu ungültigen Zugangsdaten"
"Invalid reset link","Ungültiger Zurücksetzungslink"
"Jump to any screen or variant","Zu jedem Bildschirm oder jeder Variante springen"
"Language","Sprache"
"Last used","Zuletzt verwendet"
"Legacy MFA-required fallback","Veralteter Fallback für erforderliche MFA"
"Light","Hell"
"Light theme","Helles Design"
"Linking failed","Verknüpfung fehlgeschlagen"
"Loading","Wird geladen"
"Loading 2-step verification options...","Optionen für die 2-Schritt-Verifizierung werden geladen ..."
"Loading options","Optionen werden geladen"
"Loading password recovery...","Passwortwiederherstellung wird geladen ..."
"Loading recovery","Wiederherstellung wird geladen"
"Loading sign-in...","Anmeldung wird geladen ..."
"MFA","MFA"
"Method chooser","Methodenauswahl"
"Multi-factor authentication (MFA) is required for this account. MFA support will be enabled in Task 5.","Für dieses Konto ist eine Multi-Faktor-Authentifizierung (MFA) erforderlich. Die MFA-Unterstützung wird in Aufgabe 5 aktiviert."
"Name (optional)","Name (optional)"
"Native fallback","Nativer Fallback"
"New password","Neues Passwort"
"Next","Weiter"
"No account linked","Kein Konto verknüpft"
"No ZITADEL account is linked to this {provider} account. Account linking and self-service registration are not enabled yet.","Mit diesem {provider}-Konto ist kein ZITADEL-Konto verknüpft. Die Kontoverknüpfung und die Selbstregistrierung sind noch nicht aktiviert."
"No linked ZITADEL account","Kein verknüpftes ZITADEL-Konto"
"Open any login screen with fake data. Actions stay inside /demo.","Öffnen Sie einen beliebigen Anmeldebildschirm mit Testdaten. Aktionen bleiben innerhalb von /demo."
"Optional 2-step verification","Optionale 2-Schritt-Verifizierung"
"Optional setup","Optionale Einrichtung"
"Options failed","Optionen konnten nicht geladen werden"
"Or choose a method","Oder wählen Sie eine Methode"
"Passkey","Passkey"
"Passkey factor","Passkey-Faktor"
"Passkey MFA placeholder","Passkey-MFA-Platzhalter"
"Passkey authentication is not supported in this browser. Please use another sign-in method.","Passkey-Authentifizierung wird in diesem Browser nicht unterstützt. Bitte verwenden Sie eine andere Anmeldemethode."
"Passkey not supported","Passkey wird nicht unterstützt"
"Passkey registration is not supported in this browser.","Die Passkey-Registrierung wird in diesem Browser nicht unterstützt."
"Passkey setup unavailable","Passkey-Einrichtung nicht verfügbar"
"Passkey sign-in","Passkey-Anmeldung"
"Passkey unsupported","Passkey nicht unterstützt"
"Password","Passwort"
"Password error","Passwortfehler"
"Password expired","Passwort abgelaufen"
"Password MFA placeholder","Passwort-MFA-Platzhalter"
"Password recovery unavailable","Passwortwiederherstellung nicht verfügbar"
"Password sign-in","Passwort-Anmeldung"
"Password changed","Passwort geändert"
"Pending email OTP verification","Ausstehende E-Mail-OTP-Verifizierung"
"Policy already met","Richtlinie bereits erfüllt"
"Policy-required password change","Durch Richtlinie erforderliche Passwortänderung"
"Previous","Zurück"
"Privacy Policy","Datenschutzerklärung"
"Provider failure","Anbieterfehler"
"QR code for authenticator app setup","QR-Code zur Einrichtung der Authenticator-App"
"Reauthentication required","Erneute Authentifizierung erforderlich"
"Receive a one-time code","Einmalcode erhalten"
"Receive a one-time verification code via email","Einmaligen Verifizierungscode per E-Mail erhalten"
"Receive a one-time verification code via SMS","Einmaligen Verifizierungscode per SMS erhalten"
"Recent accounts","Kürzlich verwendete Konten"
"Recent accounts plus methods","Kürzlich verwendete Konten und Methoden"
"Recovery","Wiederherstellung"
"Recovery bootstrap spinner","Ladeanzeige für die Wiederherstellung"
"Recovery code verification requires native ZITADEL sign-in.","Die Verifizierung mit einem Wiederherstellungscode erfordert eine native ZITADEL-Anmeldung."
"Recovery unavailable","Wiederherstellung nicht verfügbar"
"Redirect after a completed sign-in","Weiterleitung nach abgeschlossener Anmeldung"
"Register a hardware key","Hardwareschlüssel registrieren"
"Register a hardware security key, then verify it once to continue.","Registrieren Sie einen Hardware-Sicherheitsschlüssel und verifizieren Sie ihn einmal, um fortzufahren."
"Register a new passkey","Neuen Passkey registrieren"
"Register a passkey with biometrics or a device PIN, then verify it once to continue.","Registrieren Sie einen Passkey mit biometrischen Daten oder einer Geräte-PIN und verifizieren Sie ihn einmal, um fortzufahren."
"Register security key","Sicherheitsschlüssel registrieren"
"Registering...","Registrierung läuft ..."
"Registration cannot be resumed","Die Registrierung kann nicht fortgesetzt werden"
"Registration failed","Registrierung fehlgeschlagen"
"Remember this email","Diese E-Mail-Adresse merken"
"Remember this identifier","Diese Kennung merken"
"Request reset","Zurücksetzung anfordern"
"Required enrollment chooser","Auswahl für erforderliche Registrierung"
"Resend code","Code erneut senden"
"Resend code ({seconds}s)","Code erneut senden ({seconds}s)"
"Reset bootstrap spinner","Ladeanzeige für die Zurücksetzung"
"Reset finished successfully","Zurücksetzung erfolgreich abgeschlossen"
"Reset link sent","Zurücksetzungslink gesendet"
"Reset your password","Passwort zurücksetzen"
"Retry loading options","Laden der Optionen wiederholen"
"SMS code","SMS-Code"
"SMS verification code","SMS-Verifizierungscode"
