english,nl
"2-Step Verification","Tweestapsverificatie"
"2-Step Verification Required","Tweestapsverificatie vereist"
"2-Step verification required","Tweestapsverificatie vereist"
"2-Step verification satisfied","Aan tweestapsverificatie voldaan"
"Account linking could not be completed. Please try another sign-in method.","Koppelen van account kon niet worden voltooid. Probeer een andere inlogmethode."
"Account not found","Account niet gevonden"
"Activate","Activeren"
"All primary methods, no recent accounts","Alle primaire methoden, geen recente accounts"
"All screens","Alle schermen"
"Already satisfied","Al voldaan"
"Another code can be sent in {seconds} seconds.","Een nieuwe code kan worden verzonden over {seconds} seconden."
"App","App"
"Authenticator app","Authenticator-app"
"Authenticator code","Authenticator-code"
"Authenticator setup could not be prepared here. The setup details cannot be restored after a reload.","Instellen van de authenticator kon hier niet worden voorbereid. De instellingsgegevens kunnen niet worden hersteld na opnieuw laden."
"Authenticator unavailable","Authenticator niet beschikbaar"
"Back to 2-step choices","Terug naar keuzes voor tweestapsverificatie"
"Back to methods","Terug naar methoden"
"Back to sign-in","Terug naar inloggen"
"Bootstrap failed","Initialisatie mislukt"
"Browser without WebAuthn","Browser zonder WebAuthn"
"By continuing, you acknowledge the","Door door te gaan, erkent u de"
"Challenge start for SMS OTP","Sms-OTP-verificatie starten"
"Challenge start for email OTP","E-mail-OTP-verificatie starten"
"Change email","E-mailadres wijzigen"
"Change password","Wachtwoord wijzigen"
"Change required","Wijziging vereist"
"Change your password","Wijzig uw wachtwoord"
"Check your email","Controleer uw e-mail"
"Check-your-email confirmation","Bevestiging om uw e-mail te controleren"
"Checking your reset link...","Herstellink controleren..."
"Checking reset link","Herstellink controleren"
"Choose 2-step verification method","Kies een methode voor tweestapsverificatie"
"Choose a method","Kies een methode"
"Choose a factor","Kies een factor"
"Choose an account or method","Kies een account of methode"
"Choose a new password","Kies een nieuw wachtwoord"
"Chooser","Kiezer"
"Chooser with recent accounts","Kiezer met recente accounts"
"Code sent, ready to verify","Code verzonden, klaar om te verifiëren"
"Compact","Compact"
"Confirm new password","Bevestig nieuw wachtwoord"
"Continue","Doorgaan"
"Continue in ZITADEL","Doorgaan in ZITADEL"
"Continue sign-in","Doorgaan met inloggen"
"Continue with {provider}","Doorgaan met {provider}"
"Continue with Google","Doorgaan met Google"
"Continuing","Doorgaan"
"Continuing sign-in...","Inloggen wordt voortgezet..."
"Could not link account","Kon account niet koppelen"
"Could not link the account","Kon het account niet koppelen"
"Could not register the account","Kon het account niet registreren"
"Create passkey","Passkey maken"
"Current password","Huidig wachtwoord"
"Dark","Donker"
"Dark theme","Donker thema"
"Demo chrome","Demo-bediening"
"Demo screens","Demo-schermen"
"Directory","Overzicht"
"Email OTP","E-mail-OTP"
"Email address","E-mailadres"
"Email code","E-mailcode"
"Email verification code","E-mailverificatiecode"
"Enroll email OTP","E-mail-OTP registreren"
"Enrollment cannot be resumed","Registratie kan niet worden hervat"
"Enter 6 digits.","Voer 6 cijfers in."
"Enter 6 to 20 digits.","Voer 6 tot 20 cijfers in."
"Enter the 6-20 digit code sent to your email address.","Voer de 6- tot 20-cijferige code in die naar uw e-mailadres is verzonden."
"Enter the 6-20 digit code sent to your mobile phone.","Voer de 6- tot 20-cijferige code in die naar uw mobiele telefoon is verzonden."
"Enter the 6-digit code from your authenticator app.","Voer de 6-cijferige code uit uw authenticator-app in."
"Enter the code sent for {email}.","Voer de code in die is verzonden voor {email}."
"Enter code","Voer code in"
"Enter email","Voer e-mailadres in"
"Enter email code","Voer e-mailcode in"
"Enter email for a reset link","Voer e-mailadres in voor een herstellink"
"Enter your email","Voer uw e-mailadres in"
"Expired or already used","Verlopen of al gebruikt"
"Expired-password change","Wijziging van verlopen wachtwoord"
"Fallback","Fallback"
"Fatal initialization error","Fatale initialisatiefout"
"Fetching 2-step choices","Keuzes voor tweestapsverificatie ophalen"
"Forgot password?","Wachtwoord vergeten?"
"GitHub","GitHub"
"GitHub project","GitHub-project"
"Helps you recognize this device later.","Helpt u dit apparaat later te herkennen."
"Hide","Verbergen"
"Hide password","Wachtwoord verbergen"
"Hide screens","Schermen verbergen"
"Hide setup key","Instelsleutel verbergen"
"Identifier and password","Gebruikersnaam en wachtwoord"
"Identity provider","Identiteitsprovider"
"If an account matches that email address, we sent a password reset link.","Als een account overeenkomt met dat e-mailadres, hebben we een link gestuurd om het wachtwoord opnieuw in te stellen."
"Initial sign-in bootstrap","Initialisatie van inloggen"
"Invalid credentials message","Melding ongeldige inloggegevens"
"Invalid reset link","Ongeldige herstellink"
"Jump to any screen or variant","Ga naar elk scherm of elke variant"
"Language","Taal"
"Last used","Laatst gebruikt"
"Legacy MFA-required fallback","Verouderde fallback voor vereiste MFA"
"Light","Licht"
"Light theme","Licht thema"
"Linking failed","Koppelen mislukt"
"Loading","Laden"
"Loading 2-step verification options...","Opties voor tweestapsverificatie laden..."
"Loading options","Opties laden"
"Loading password recovery...","Wachtwoordherstel laden..."
"Loading recovery","Herstel laden"
"Loading sign-in...","Inloggen laden..."
"MFA","MFA"
"Method chooser","Methodenkiezer"
"Multi-factor authentication (MFA) is required for this account. MFA support will be enabled in Task 5.","Meervoudige verificatie (MFA) is vereist voor dit account. MFA-ondersteuning wordt ingeschakeld in Taak 5."
"Name (optional)","Naam (optioneel)"
"Native fallback","Terugvallen op native inloggen"
"New password","Nieuw wachtwoord"
"Next","Volgende"
"No account linked","Geen account gekoppeld"
"No ZITADEL account is linked to this {provider} account. Account linking and self-service registration are not enabled yet.","Er is geen ZITADEL-account gekoppeld aan dit {provider}-account. Accountkoppeling en zelfregistratie zijn nog niet ingeschakeld."
"No linked ZITADEL account","Geen gekoppeld ZITADEL-account"
"Open any login screen with fake data. Actions stay inside /demo.","Open elk inlogscherm met testgegevens. Acties blijven binnen /demo."
"Optional 2-step verification","Optionele tweestapsverificatie"
"Optional setup","Optionele instelling"
"Options failed","Opties laden mislukt"
"Or choose a method","Of kies een methode"
"Passkey","Passkey"
"Passkey factor","Passkey-factor"
"Passkey MFA placeholder","Passkey-MFA-tijdelijke aanduiding"
"Passkey authentication is not supported in this browser. Please use another sign-in method.","Passkey-authenticatie wordt niet ondersteund in deze browser. Gebruik een andere inlogmethode."
"Passkey not supported","Passkey niet ondersteund"
"Passkey registration is not supported in this browser.","Passkey-registratie wordt niet ondersteund in deze browser."
"Passkey setup unavailable","Passkey instellen niet beschikbaar"
"Passkey sign-in","Inloggen met passkey"
"Passkey unsupported","Passkey niet ondersteund"
"Password","Wachtwoord"
"Password error","Wachtwoordfout"
"Password expired","Wachtwoord verlopen"
"Password MFA placeholder","Wachtwoord-MFA-tijdelijke aanduiding"
