english,zh
"2-Step Verification","两步验证"
"2-Step Verification Required","需要两步验证"
"2-Step verification required","需要两步验证"
"2-Step verification satisfied","已完成两步验证"
"Account linking could not be completed. Please try another sign-in method.","无法完成账号关联。请尝试其他登录方式。"
"Account not found","未找到账号"
"Activate","激活"
"All primary methods, no recent accounts","所有主要方式，无最近账号"
"All screens","所有界面"
"Already satisfied","已满足"
"Another code can be sent in {seconds} seconds.","可在 {seconds} 秒后发送新验证码。"
"App","应用"
"Authenticator app","身份验证器应用"
"Authenticator code","身份验证器验证码"
"Authenticator setup could not be prepared here. The setup details cannot be restored after a reload.","无法在此处准备身份验证器设置。页面刷新后无法恢复设置详情。"
"Authenticator unavailable","身份验证器不可用"
"Back to 2-step choices","返回两步验证选项"
"Back to methods","返回登录方式"
"Back to sign-in","返回登录"
"Bootstrap failed","初始化失败"
"Browser without WebAuthn","浏览器不支持 WebAuthn"
"By continuing, you acknowledge the","继续操作即表示您知晓"
"Challenge start for SMS OTP","启动短信验证码验证"
"Challenge start for email OTP","启动邮件验证码验证"
"Change email","修改邮箱"
"Change password","修改密码"
"Change required","需要修改"
"Change your password","修改您的密码"
"Check your email","查收您的电子邮件"
"Check-your-email confirmation","查收邮件确认"
"Checking your reset link...","正在验证您的重置链接..."
"Checking reset link","正在验证重置链接"
"Choose 2-step verification method","选择两步验证方式"
"Choose a method","选择登录方式"
"Choose a factor","选择验证因素"
"Choose an account or method","选择账号或登录方式"
"Choose a new password","设置新密码"
"Chooser","选择器"
"Chooser with recent accounts","包含最近账号的选择器"
"Code sent, ready to verify","验证码已发送，可进行验证"
"Compact","紧凑"
"Confirm new password","确认新密码"
"Continue","继续"
"Continue in ZITADEL","在 ZITADEL 中继续"
"Continue sign-in","继续登录"
"Continue with {provider}","通过 {provider} 继续"
"Continue with Google","通过 Google 继续"
"Continuing","正在继续"
"Continuing sign-in...","正在继续登录..."
"Could not link account","无法关联账号"
"Could not link the account","无法关联该账号"
"Could not register the account","无法注册该账号"
"Create passkey","创建 Passkey"
"Current password","当前密码"
"Dark","深色"
"Dark theme","深色主题"
"Demo chrome","演示框架"
"Demo screens","演示界面"
"Directory","目录"
"Email OTP","邮件验证码"
"Email address","邮箱地址"
"Email code","邮件验证码"
"Email verification code","邮箱验证码"
"Enroll email OTP","绑定邮件验证码"
"Enrollment cannot be resumed","无法继续绑定"
"Enter 6 digits.","请输入 6 位数字。"
"Enter 6 to 20 digits.","请输入 6 到 20 位数字。"
"Enter the 6-20 digit code sent to your email address.","请输入发送至您邮箱地址的 6-20 位验证码。"
"Enter the 6-20 digit code sent to your mobile phone.","请输入发送至您手机的 6-20 位验证码。"
"Enter the 6-digit code from your authenticator app.","请输入身份验证器应用中的 6 位验证码。"
"Enter the code sent for {email}.","请输入发送给 {email} 的验证码。"
"Enter code","输入验证码"
"Enter email","输入邮箱"
"Enter email code","输入邮件验证码"
"Enter email for a reset link","输入邮箱以获取重置链接"
"Enter your email","输入您的邮箱"
"Expired or already used","已过期或已被使用"
"Expired-password change","密码过期修改"
"Fallback","后备"
"Fatal initialization error","严重初始化错误"
"Fetching 2-step choices","正在获取两步验证选项"
"Forgot password?","忘记密码？"
"GitHub","GitHub"
"GitHub project","GitHub 项目"
"Helps you recognize this device later.","有助于您日后识别此设备。"
"Hide","隐藏"
"Hide password","隐藏密码"
"Hide screens","隐藏界面"
"Hide setup key","隐藏设置密钥"
"Identifier and password","标识符与密码"
"Identity provider","身份提供商"
"If an account matches that email address, we sent a password reset link.","如果存在匹配该邮箱地址的账号，我们已发送密码重置链接。"
"Initial sign-in bootstrap","初始登录引导"
"Invalid credentials message","无效凭据信息"
"Invalid reset link","无效的重置链接"
"Jump to any screen or variant","跳转至任意界面或变体"
"Language","语言"
"Last used","上次使用"
"Legacy MFA-required fallback","旧版强制 MFA 后备方案"
"Light","浅色"
"Light theme","浅色主题"
"Linking failed","关联失败"
"Loading","正在加载"
"Loading 2-step verification options...","正在加载两步验证选项..."
"Loading options","正在加载选项"
"Loading password recovery...","正在加载密码找回..."
"Loading recovery","正在加载找回流程"
"Loading sign-in...","正在加载登录..."
"MFA","MFA"
"Method chooser","登录方式选择器"
"Multi-factor authentication (MFA) is required for this account. MFA support will be enabled in Task 5.","此账号需要多因素认证 (MFA)。MFA 支持将在任务 5 中启用。"
"Name (optional)","名称（可选）"
"Native fallback","原生后备"
"New password","新密码"
"Next","下一步"
"No account linked","未关联账号"
"No ZITADEL account is linked to this {provider} account. Account linking and self-service registration are not enabled yet.","此 {provider} 账号未关联任何 ZITADEL 账号。账号关联和自助注册尚未启用。"
"No linked ZITADEL account","未关联 ZITADEL 账号"
"Open any login screen with fake data. Actions stay inside /demo.","使用模拟数据打开任意登录界面。操作仅在 /demo 内生效。"
"Optional 2-step verification","可选两步验证"
"Optional setup","可选设置"
"Options failed","加载选项失败"
"Or choose a method","或选择其他方式"
"Passkey","Passkey"
"Passkey factor","Passkey 验证因素"
"Passkey MFA placeholder","Passkey MFA 占位符"
"Passkey authentication is not supported in this browser. Please use another sign-in method.","此浏览器不支持 Passkey 身份验证。请使用其他登录方式。"
"Passkey not supported","不支持 Passkey"
"Passkey registration is not supported in this browser.","此浏览器不支持 Passkey 注册。"
"Passkey setup unavailable","Passkey 设置不可用"
"Passkey sign-in","Passkey 登录"
"Passkey unsupported","不支持 Passkey"
"Password","密码"
"Password error","密码错误"
"Password expired","密码已过期"
"Password MFA placeholder","密码 MFA 占位符"
"Password recovery unavailable","密码找回不可用"
"Password sign-in","密码登录"
"Password changed","密码已修改"
"Pending email OTP verification","等待邮件验证码验证"
"Policy already met","已满足策略要求"
"Policy-required password change","按策略要求修改密码"
"Previous","上一步"
"Privacy Policy","隐私政策"
"Provider failure","提供商故障"
"QR code for authenticator app setup","用于身份验证器应用设置的二维码"
"Reauthentication required","需要重新认证"
"Receive a one-time code","接收一次性验证码"
"Receive a one-time verification code via email","通过邮件接收一次性验证码"
"Receive a one-time verification code via SMS","通过短信接收一次性验证码"
"Recent accounts","最近使用的账号"
"Recent accounts plus methods","最近使用的账号及方式"
"Recovery","找回"
"Recovery bootstrap spinner","找回引导加载中"
"Recovery code verification requires native ZITADEL sign-in.","恢复码验证需要使用原生 ZITADEL 登录。"
"Recovery unavailable","找回功能不可用"
"Redirect after a completed sign-in","登录完成后重定向"
"Register a hardware key","注册硬件密钥"
"Register a hardware security key, then verify it once to continue.","注册硬件安全密钥，然后验证一次以继续。"
