english,es
"2-Step Verification","Verificación en 2 pasos"
"2-Step Verification Required","Verificación en 2 pasos requerida"
"2-Step verification required","Verificación en 2 pasos requerida"
"2-Step verification satisfied","Verificación en 2 pasos completada"
"Account linking could not be completed. Please try another sign-in method.","No se pudo completar la vinculación de la cuenta. Intente con otro método de inicio de sesión."
"Account not found","Cuenta no encontrada"
"Activate","Activar"
"All primary methods, no recent accounts","Todos los métodos principales, sin cuentas recientes"
"All screens","Todas las pantallas"
"Already satisfied","Ya completado"
"Another code can be sent in {seconds} seconds.","Se puede enviar otro código en {seconds} segundos."
"App","Aplicación"
"Authenticator app","Aplicación de autenticación"
"Authenticator code","Código de autenticación"
"Authenticator setup could not be prepared here. The setup details cannot be restored after a reload.","No se pudo preparar la configuración del autenticador aquí. Los detalles de configuración no se pueden restaurar después de recargar."
"Authenticator unavailable","Autenticador no disponible"
"Back to 2-step choices","Volver a las opciones de 2 pasos"
"Back to methods","Volver a los métodos"
"Back to sign-in","Volver al inicio de sesión"
"Bootstrap failed","Error de inicialización"
"Browser without WebAuthn","Navegador sin WebAuthn"
"By continuing, you acknowledge the","Al continuar, acepta los"
"Challenge start for SMS OTP","Inicio del desafío para OTP por SMS"
"Challenge start for email OTP","Inicio del desafío para OTP por correo electrónico"
"Change email","Cambiar correo electrónico"
"Change password","Cambiar contraseña"
"Change required","Cambio requerido"
"Change your password","Cambie su contraseña"
"Check your email","Revise su correo electrónico"
"Check-your-email confirmation","Confirmación de revisión de correo electrónico"
"Checking your reset link...","Comprobando su enlace de restablecimiento..."
"Checking reset link","Comprobando enlace de restablecimiento"
"Choose 2-step verification method","Elegir método de verificación en 2 pasos"
"Choose a method","Elegir un método"
"Choose a factor","Elegir un factor"
"Choose an account or method","Elegir una cuenta o método"
"Choose a new password","Elegir una nueva contraseña"
"Chooser","Selector"
"Chooser with recent accounts","Selector con cuentas recientes"
"Code sent, ready to verify","Código enviado, listo para verificar"
"Compact","Compacto"
"Confirm new password","Confirmar nueva contraseña"
"Continue","Continuar"
"Continue in ZITADEL","Continuar en ZITADEL"
"Continue sign-in","Continuar inicio de sesión"
"Continue with {provider}","Continuar con {provider}"
"Continue with Google","Continuar con Google"
"Continuing","Continuando"
"Continuing sign-in...","Continuando inicio de sesión..."
"Could not link account","No se pudo vincular la cuenta"
"Could not link the account","No se pudo vincular la cuenta"
"Could not register the account","No se pudo registrar la cuenta"
"Create passkey","Crear passkey"
"Current password","Contraseña actual"
"Dark","Oscuro"
"Dark theme","Tema oscuro"
"Demo chrome","Interfaz de demostración"
"Demo screens","Pantallas de demostración"
"Directory","Directorio"
"Email OTP","OTP por correo electrónico"
"Email address","Dirección de correo electrónico"
"Email code","Código de correo electrónico"
"Email verification code","Código de verificación por correo electrónico"
"Enroll email OTP","Registrar OTP por correo electrónico"
"Enrollment cannot be resumed","No se puede reanudar el registro"
"Enter 6 digits.","Introduzca 6 dígitos."
"Enter 6 to 20 digits.","Introduzca de 6 a 20 dígitos."
"Enter the 6-20 digit code sent to your email address.","Introduzca el código de 6 a 20 dígitos enviado a su dirección de correo electrónico."
"Enter the 6-20 digit code sent to your mobile phone.","Introduzca el código de 6 a 20 dígitos enviado a su teléfono móvil."
"Enter the 6-digit code from your authenticator app.","Introduzca el código de 6 dígitos de su aplicación de autenticación."
"Enter the code sent for {email}.","Introduzca el código enviado a {email}."
"Enter code","Introducir código"
"Enter email","Introducir correo electrónico"
"Enter email code","Introducir código de correo electrónico"
"Enter email for a reset link","Introduzca el correo electrónico para el enlace de restablecimiento"
"Enter your email","Introduzca su correo electrónico"
"Expired or already used","Caducado o ya utilizado"
"Expired-password change","Cambio de contraseña caducada"
"Fallback","Alternativa"
"Fatal initialization error","Error fatal de inicialización"
"Fetching 2-step choices","Obteniendo opciones de 2 pasos"
"Forgot password?","¿Ha olvidado su contraseña?"
"GitHub","GitHub"
"GitHub project","Proyecto GitHub"
"Helps you recognize this device later.","Le ayuda a reconocer este dispositivo más adelante."
"Hide","Ocultar"
"Hide password","Ocultar contraseña"
"Hide screens","Ocultar pantallas"
"Hide setup key","Ocultar clave de configuración"
"Identifier and password","Identificador y contraseña"
"Identity provider","Proveedor de identidad"
"If an account matches that email address, we sent a password reset link.","Si una cuenta coincide con esa dirección de correo electrónico, hemos enviado un enlace de restablecimiento de contraseña."
"Initial sign-in bootstrap","Inicialización del inicio de sesión"
"Invalid credentials message","Mensaje de credenciales no válidas"
"Invalid reset link","Enlace de restablecimiento no válido"
"Jump to any screen or variant","Ir a cualquier pantalla o variante"
"Language","Idioma"
"Last used","Último uso"
"Legacy MFA-required fallback","Alternativa heredada para MFA requerido"
"Light","Claro"
"Light theme","Tema claro"
"Linking failed","Error al vincular"
"Loading","Cargando"
"Loading 2-step verification options...","Cargando opciones de verificación en 2 pasos..."
"Loading options","Cargando opciones"
"Loading password recovery...","Cargando recuperación de contraseña..."
"Loading recovery","Cargando recuperación"
"Loading sign-in...","Cargando inicio de sesión..."
"MFA","MFA"
"Method chooser","Selector de método"
"Multi-factor authentication (MFA) is required for this account. MFA support will be enabled in Task 5.","La autenticación multifactor (MFA) es obligatoria para esta cuenta. La compatibilidad con MFA se habilitará en la Tarea 5."
"Name (optional)","Nombre (opcional)"
"Native fallback","Alternativa nativa"
"New password","Nueva contraseña"
"Next","Siguiente"
"No account linked","Ninguna cuenta vinculada"
"No ZITADEL account is linked to this {provider} account. Account linking and self-service registration are not enabled yet.","No hay ninguna cuenta de ZITADEL vinculada a esta cuenta de {provider}. La vinculación de cuentas y el registro de autoservicio aún no están habilitados."
"No linked ZITADEL account","Ninguna cuenta de ZITADEL vinculada"
"Open any login screen with fake data. Actions stay inside /demo.","Abra cualquier pantalla de inicio de sesión con datos de prueba. Las acciones permanecen dentro de /demo."
"Optional 2-step verification","Verificación en 2 pasos opcional"
"Optional setup","Configuración opcional"
"Options failed","Error al cargar las opciones"
"Or choose a method","O elija un método"
"Passkey","Passkey"
"Passkey factor","Factor passkey"
"Passkey MFA placeholder","Marcador de posición MFA passkey"
"Passkey authentication is not supported in this browser. Please use another sign-in method.","La autenticación con passkey no es compatible con este navegador. Por favor, utilice otro método de inicio de sesión."
"Passkey not supported","Passkey no compatible"
"Passkey registration is not supported in this browser.","El registro de passkey no es compatible con este navegador."
"Passkey setup unavailable","Configuración de passkey no disponible"
"Passkey sign-in","Inicio de sesión con passkey"
"Passkey unsupported","Passkey no compatible"
"Password","Contraseña"
"Password error","Error de contraseña"
"Password expired","Contraseña caducada"
"Password MFA placeholder","Marcador de posición MFA contraseña"
"Password recovery unavailable","Recuperación de contraseña no disponible"
"Password sign-in","Inicio de sesión con contraseña"
"Password changed","Contraseña cambiada"
"Pending email OTP verification","Verificación de OTP por correo electrónico pendiente"
"Policy already met","Política ya cumplida"
"Policy-required password change","Cambio de contraseña requerido por la política"
"Previous","Anterior"
"Privacy Policy","Política de privacidad"
"Provider failure","Error del proveedor"
"QR code for authenticator app setup","Código QR para la configuración de la aplicación de autenticación"
"Reauthentication required","Reautenticación requerida"
"Receive a one-time code","Recibir un código de un solo uso"
"Receive a one-time verification code via email","Recibir un código de verificación de un solo uso por correo electrónico"
"Receive a one-time verification code via SMS","Recibir un código de verificación de un solo uso por SMS"
"Recent accounts","Cuentas recientes"
"Recent accounts plus methods","Cuentas recientes y métodos"
"Recovery","Recuperación"
"Recovery bootstrap spinner","Indicador de carga de recuperación"
"Recovery code verification requires native ZITADEL sign-in.","La verificación del código de recuperación requiere el inicio de sesión nativo de ZITADEL."
"Recovery unavailable","Recuperación no disponible"
