english,pl
"2-Step Verification","Weryfikacja dwuetapowa"
"2-Step Verification Required","Wymagana weryfikacja dwuetapowa"
"2-Step verification required","Wymagana weryfikacja dwuetapowa"
"2-Step verification satisfied","Weryfikacja dwuetapowa spełniona"
"Account linking could not be completed. Please try another sign-in method.","Nie udało się połączyć konta. Spróbuj innej metody logowania."
"Account not found","Nie znaleziono konta"
"Activate","Aktywuj"
"All primary methods, no recent accounts","Wszystkie metody podstawowe, brak ostatnich kont"
"All screens","Wszystkie ekrany"
"Already satisfied","Już spełnione"
"Another code can be sent in {seconds} seconds.","Kolejny kod można wysłać za {seconds} s."
"App","Aplikacja"
"Authenticator app","Aplikacja uwierzytelniająca"
"Authenticator code","Kod z aplikacji uwierzytelniającej"
"Authenticator setup could not be prepared here. The setup details cannot be restored after a reload.","Nie udało się przygotować konfiguracji aplikacji uwierzytelniającej. Szczegółów konfiguracji nie można przywrócić po odświeżeniu strony."
"Authenticator unavailable","Aplikacja uwierzytelniająca jest niedostępna"
"Back to 2-step choices","Wróć do wyboru weryfikacji dwuetapowej"
"Back to methods","Wróć do metod"
"Back to sign-in","Wróć do logowania"
"Bootstrap failed","Inicjalizacja nie powiodła się"
"Browser without WebAuthn","Przeglądarka bez obsługi WebAuthn"
"By continuing, you acknowledge the","Kontynuując, akceptujesz"
"Challenge start for SMS OTP","Rozpoczęcie wyzwania SMS OTP"
"Challenge start for email OTP","Rozpoczęcie wyzwania e-mail OTP"
"Change email","Zmień adres e-mail"
"Change password","Zmień hasło"
"Change required","Wymagana zmiana"
"Change your password","Zmień swoje hasło"
"Check your email","Sprawdź swoją skrzynkę e-mail"
"Check-your-email confirmation","Potwierdzenie wysłania wiadomości e-mail"
"Checking your reset link...","Sprawdzanie linku resetującego..."
"Checking reset link","Sprawdzanie linku resetującego"
"Choose 2-step verification method","Wybierz metodę weryfikacji dwuetapowej"
"Choose a method","Wybierz metodę"
"Choose a factor","Wybierz składnik"
"Choose an account or method","Wybierz konto lub metodę"
"Choose a new password","Wybierz nowe hasło"
"Chooser","Wybór"
"Chooser with recent accounts","Wybór z ostatnio używanymi kontami"
"Code sent, ready to verify","Kod wysłany, gotowy do weryfikacji"
"Compact","Kompaktowy"
"Confirm new password","Potwierdź nowe hasło"
"Continue","Kontynuuj"
"Continue in ZITADEL","Kontynuuj w ZITADEL"
"Continue sign-in","Kontynuuj logowanie"
"Continue with {provider}","Kontynuuj przez {provider}"
"Continue with Google","Kontynuuj przez Google"
"Continuing","Kontynuowanie"
"Continuing sign-in...","Kontynuowanie logowania..."
"Could not link account","Nie udało się połączyć konta"
"Could not link the account","Nie udało się połączyć konta"
"Could not register the account","Nie udało się zarejestrować konta"
"Create passkey","Utwórz klucz dostępu"
"Current password","Bieżące hasło"
"Dark","Ciemny"
"Dark theme","Ciemny motyw"
"Demo chrome","Interfejs demo"
"Demo screens","Ekrany demonstracyjne"
"Directory","Katalog"
"Email OTP","E-mail OTP"
"Email address","Adres e-mail"
"Email code","Kod e-mail"
"Email verification code","Kod weryfikacyjny e-mail"
"Enroll email OTP","Zarejestruj e-mail OTP"
"Enrollment cannot be resumed","Rejestracja nie może zostać wznowiona"
"Enter 6 digits.","Wprowadź 6 cyfr."
"Enter 6 to 20 digits.","Wprowadź od 6 do 20 cyfr."
"Enter the 6-20 digit code sent to your email address.","Wprowadź 6–20-cyfrowy kod wysłany na Twój adres e-mail."
"Enter the 6-20 digit code sent to your mobile phone.","Wprowadź 6–20-cyfrowy kod wysłany na Twój telefon komórkowy."
"Enter the 6-digit code from your authenticator app.","Wprowadź 6-cyfrowy kod z aplikacji uwierzytelniającej."
"Enter the code sent for {email}.","Wprowadź kod wysłany na adres {email}."
"Enter code","Wprowadź kod"
"Enter email","Wprowadź adres e-mail"
"Enter email code","Wprowadź kod z wiadomości e-mail"
"Enter email for a reset link","Wprowadź adres e-mail, aby otrzymać link do resetowania"
"Enter your email","Wprowadź swój adres e-mail"
"Expired or already used","Wygasły lub już wykorzystany"
"Expired-password change","Zmiana wygasłego hasła"
"Fallback","Tryb awaryjny"
"Fatal initialization error","Krytyczny błąd inicjalizacji"
"Fetching 2-step choices","Pobieranie opcji weryfikacji dwuetapowej"
"Forgot password?","Nie pamiętasz hasła?"
"GitHub","GitHub"
"GitHub project","Projekt na GitHubie"
"Helps you recognize this device later.","Ułatwia późniejsze rozpoznanie tego urządzenia."
"Hide","Ukryj"
"Hide password","Ukryj hasło"
"Hide screens","Ukryj ekrany"
"Hide setup key","Ukryj klucz konfiguracyjny"
"Identifier and password","Identyfikator i hasło"
"Identity provider","Dostawca tożsamości"
"If an account matches that email address, we sent a password reset link.","Jeśli konto powiązane z tym adresem e-mail istnieje, wysłaliśmy link do zresetowania hasła."
