english,hu
"2-Step Verification","Kétlépcsős azonosítás"
"2-Step Verification Required","Kétlépcsős azonosítás szükséges"
"2-Step verification required","Kétlépcsős azonosítás szükséges"
"2-Step verification satisfied","Kétlépcsős azonosítás teljesítve"
"Account linking could not be completed. Please try another sign-in method.","A fiók összekapcsolása nem sikerült. Kérjük, próbálkozzon másik bejelentkezési módszerrel."
"Account not found","A fiók nem található"
"Activate","Aktiválás"
"All primary methods, no recent accounts","Minden elsődleges módszer, nincsenek legutóbbi fiókok"
"All screens","Minden képernyő"
"Already satisfied","Már teljesítve"
"Another code can be sent in {seconds} seconds.","Új kód {seconds} másodperc múlva küldhető."
"App","Alkalmazás"
"Authenticator app","Hitelesítő alkalmazás"
"Authenticator code","Hitelesítő kód"
"Authenticator setup could not be prepared here. The setup details cannot be restored after a reload.","A hitelesítő alkalmazás beállítását itt nem sikerült előkészíteni. A beállítási adatok újratöltés után nem állíthatók vissza."
"Authenticator unavailable","A hitelesítő alkalmazás nem érhető el"
"Back to 2-step choices","Vissza a kétlépcsős lehetőségekhez"
"Back to methods","Vissza a módszerekhez"
"Back to sign-in","Vissza a bejelentkezéshez"
"Bootstrap failed","Az inicializálás nem sikerült"
"Browser without WebAuthn","WebAuthn nélküli böngésző"
"By continuing, you acknowledge the","A folytatással elfogadja az"
"Challenge start for SMS OTP","SMS OTP-ellenőrzés indítása"
"Challenge start for email OTP","E-mail OTP-ellenőrzés indítása"
"Change email","E-mail-cím módosítása"
"Change password","Jelszó módosítása"
"Change required","Módosítás szükséges"
"Change your password","Jelszó módosítása"
"Check your email","Ellenőrizze az e-mailjét"
"Check-your-email confirmation","E-mail ellenőrzési megerősítés"
"Checking your reset link...","Visszaállító link ellenőrzése..."
"Checking reset link","Visszaállító link ellenőrzése"
"Choose 2-step verification method","Válasszon kétlépcsős azonosítási módszert"
"Choose a method","Válasszon egy módszert"
"Choose a factor","Válasszon egy faktort"
"Choose an account or method","Válasszon fiókot vagy módszert"
"Choose a new password","Adjon meg egy új jelszót"
"Chooser","Választó"
"Chooser with recent accounts","Választó legutóbbi fiókokkal"
"Code sent, ready to verify","Kód elküldve, készen áll az ellenőrzésre"
"Compact","Kompakt"
"Confirm new password","Új jelszó megerősítése"
"Continue","Folytatás"
"Continue in ZITADEL","Folytatás a ZITADEL-ben"
"Continue sign-in","Bejelentkezés folytatása"
"Continue with {provider}","Folytatás ezzel: {provider}"
"Continue with Google","Folytatás a Google-lal"
"Continuing","Folytatás folyamatban"
"Continuing sign-in...","Bejelentkezés folytatása..."
"Could not link account","A fiókot nem sikerült összekapcsolni"
"Could not link the account","A fiókot nem sikerült összekapcsolni"
"Could not register the account","A fiókot nem sikerült regisztrálni"
"Create passkey","Passkey létrehozása"
"Current password","Jelenlegi jelszó"
"Dark","Sötét"
"Dark theme","Sötét téma"
"Demo chrome","Demó felület"
"Demo screens","Demó képernyők"
"Directory","Címtár"
"Email OTP","E-mail OTP"
"Email address","E-mail-cím"
"Email code","E-mail kód"
"Email verification code","E-mail ellenőrző kód"
"Enroll email OTP","E-mail OTP regisztrálása"
"Enrollment cannot be resumed","A regisztráció nem folytatható"
"Enter 6 digits.","Adjon meg 6 számjegyet."
"Enter 6 to 20 digits.","Adjon meg 6–20 számjegyet."
"Enter the 6-20 digit code sent to your email address.","Adja meg az e-mail-címére küldött 6–20 számjegyű kódot."
"Enter the 6-20 digit code sent to your mobile phone.","Adja meg a mobiltelefonjára küldött 6–20 számjegyű kódot."
"Enter the 6-digit code from your authenticator app.","Adja meg a hitelesítő alkalmazásból származó 6 számjegyű kódot."
"Enter the code sent for {email}.","Adja meg a(z) {email} címre küldött kódot."
"Enter code","Kód megadása"
"Enter email","E-mail megadása"
"Enter email code","E-mail kód megadása"
"Enter email for a reset link","E-mail megadása a visszaállító linkhez"
"Enter your email","Adja meg az e-mail-címét"
"Expired or already used","Lejárt vagy már felhasznált"
"Expired-password change","Lejárt jelszó módosítása"
"Fallback","Tartalékmegoldás"
"Fatal initialization error","Végzetes inicializálási hiba"
"Fetching 2-step choices","Kétlépcsős lehetőségek lekérése"
"Forgot password?","Elfelejtette a jelszavát?"
"GitHub","GitHub"
"GitHub project","GitHub-projekt"
"Helps you recognize this device later.","Segít később felismerni ezt az eszközt."
"Hide","Elrejtés"
"Hide password","Jelszó elrejtése"
"Hide screens","Képernyők elrejtése"
